,0
117,第117条：【2025年我国体育产业总规模突破5万亿元 体育用品市场规模达2.49万亿元】近年来，一股运动消费的热潮正在席卷全国，国产品牌也在快速崛起。随着本土企业加速自主创新，我国体育用品制造业持续壮大。2025年中国体育用品市场规模达2.49万亿元，体育产业总规模达5.12万亿元。
118,第118条：【机构：今年DRAM内存容量需求增长23% 超半数来自数据中心】机构Yole在近期的报告中指出，2026年全球按容量计算的DRAM内存需求将同比增长23%，其中数据中心领域将增长28%，对整体增幅贡献 (13%) 超过半数。
119,第119条：【印度和欧盟达成自贸协定】当地时间1月27日，印欧领导人在新德里举行会晤。印度总理莫迪宣布，印度和欧盟达成自由贸易协定，并表示该协议覆盖全球GDP的25%和全球贸易额的三分之一。
120,第120条：【国债期货收盘多数持平】国债期货收盘多数持平，30年期主力合约跌0.33%，10年期主力合约收平，5年期主力合约收平，2年期主力合约收平。
121,第121条：【2025年南京接待境内外游客突破2亿人次】南京市文旅局发布数据：经江苏省文旅厅审定，2025年南京接待境内外游客20052.8万人次（去重后首次突破2亿人次），同比增长10.6%；实现游客总花费2390.2亿元，同比增长9.3%。游客接待量和游客总花费两项核心指标均位列江苏全省第一。
122,第122条：【阿塞拜疆外长巴伊拉莫夫将访华】外交部发言人宣布：应中共中央政治局委员、外交部长王毅邀请，阿塞拜疆外长巴伊拉莫夫将于1月28日至29日对中国进行正式访问。
123,第123条：【英国首相斯塔默将访华 中方介绍有关安排及期待】中国外交部发言人27日宣布：应中国国务院总理李强邀请，英国首相斯塔默将于1月28日至31日对中国进行正式访问。在当日举行的例行记者会上，中国外交部发言人郭嘉昆应询介绍此访有关安排和中方期待。他指出，2024年8月，习近平主席应约同斯塔默首相通电话，11月在里约热内卢出席二十国集团领导人峰会期间同斯塔默首相会见，引领中英关系走上改善发展轨道。
124,第124条：【上海将适度超前建设一批智算基础设施 加快沪产芯片规模化部署】上海市经济和信息化委员会副主任潘焱表示，上海正积极落实国家战略，实施“人工智能+”行动，引领制造业数智化转型。面向“十五五”，上海将适度超前建设一批智算基础设施，加快沪产芯片规模化部署。
125,第125条：【聚变新能核聚变装置能量转换相关专利获授权】企查查APP显示，近日，聚变新能(安徽)有限公司“一种核聚变装置的多热源联合储能与辅助加热系统及方法”专利获授权。
126,第126条：【印度-欧盟协议：将取消对超过90%欧盟商品的关税】据外媒报道，印度-欧盟协议显示，将取消对超过90%欧盟商品的关税。
127,第127条：【售价超三万的投资银条走红水贝】银价暴涨之下，投资银条走红水贝。记者于深圳水贝零售市场发现，多家柜台上架“投资银条”产品，一块1000g银条价格高达30860元。
128,第128条：【《疾病预防控制领域强基实施方案》印发】《疾病预防控制领域强基实施方案》印发。其中提到，到2027年底，基层疾控工作网络基本健全，功能布局更加合理，基础设施条件持续改善，数智化应用更加广泛，公共卫生服务能力显著提升，构建起现代化疾控体系的基础框架。
129,第129条：【国家能源局：成立能源行业电力安全治理标准化技术委员会等7个标准化技术组织】国家能源局发布通知称，同意成立能源行业电力安全治理标准化技术委员会、能源行业电力温室气体排放管理标准化技术委员会、能源行业二氧化碳捕集运输利用与封存标准化技术委员会、能源行业氢能基础与通用标准化技术委员会、能源行业氢能制取标准化技术委员会、能源行业氢能储存与运输标准化技术委员会、能源行业氢能应用标准化技术委员会。
130,第130条：国内商品期货收盘，主力合约多数下跌。跌幅方面，铂跌超4%，PTA、焦煤跌超3%，焦炭、对二甲苯、瓶片、钯跌超2%，短纤、沪镍、丁二烯胶跌近2%，生猪、乙二醇、燃油、纯苯、胶版纸等跌超1%；涨幅方面，沪银涨超7%，棕榈油涨超2%，沪锡涨近2%，菜油、沪金、碳酸锂、豆油涨超1%。
131,第131条：【收盘播报】沪指涨0.18%，深证成指涨0.09%，创业板指涨0.71%。成交额超2.9万亿，贵金属、半导体、光伏、航天航空、保险板块涨幅居前，煤炭、医药商业、能源金属、电池、中药板块跌幅居前。
132,第132条：【多家民营火箭公司加速推进上市进程，产业趋势明确，航空航天ETF万家午后上涨2.46%】2026年1月27日午后，航天航空板块异动拉升，截至13:48，国证航天航空行业指数(CN5082)强势上涨2.76%，成分股三角防务上涨11.21%，航发动力、航发科技10cm涨停，航发控制，航材股份等个股跟涨。航空航天ETF万家(159208)上涨2.46%。拉长时间看，截至2026年1月26日，航空航天ETF万家近1月累计上涨12.30%，居跟踪同指数标的首位。
133,第133条：【“史上最长春节假期”催热出境游：日本游跌出前十 土耳其热度上涨320%】距离“史上最长春节假期”不足一个月，旅游市场正在升温。充裕假期下，游客们能更灵活地安排出游，9天长假叠加“请5休15”的拼假模式带动出境游热度攀升，但在目的地方面2026年春节则有新变化。
134,第134条：【预告：中国贸促会1月例行新闻发布会将于28日举行】中国贸促会定于1月28日（星期三）上午10:00在中国贸促会礼堂组织召开中国贸促会1月例行新闻发布会。本期内容包括：中国贸促会2026年重点工作、服务外资以及服务中国企业“走出去”工作举措、《2025年中国企业对外投资现状及意向调查报告》、开展调解仲裁工作情况、推动中美工商界经贸合作情况、CEFCO论坛成果等。
135,第135条：【金山云盘中震荡走强 近三个交易日累计涨幅超20%】1月27日，金山云延续前两日走势，股价震荡走强，一度涨超10%。截至13时53分，该股报7.48港元/股，涨8.72%，近三个交易日累计涨幅超20%。
136,第136条：【华中科技大学成立脑机接口研究院】1月25日，华中科技大学脑机接口研究院揭牌成立。研究院由华中科技大学同济医学院附属同济医院牵头，联合附属协和医院、机械学院、人工智能与自动化学院等31个校内单位共同建设。同济医院党委书记唐洲平任研究院院长。
137,第137条：【陕西：2026年地区生产总值预期目标增长5%左右】陕西省第十四届人民代表大会第四次会议在西安开幕，陕西省人民政府省长赵刚向大会作政府工作报告。报告指出，2026年是“十五五”开局之年。经济社会发展的主要预期目标是：生产总值增长5％左右，固定资产投资增速保持在全国平均水平以上，一般公共预算收入增长3％，居民收入增速高于经济增速、高于全国平均水平，城镇新增就业40万人以上，城镇调查失业率5.5％左右，居民消费价格涨幅2％左右。
138,第138条：【陕西：2025年地区生产总值增长5.1%】陕西省第十四届人民代表大会第四次会议在西安开幕，陕西省人民政府省长赵刚向大会作政府工作报告。报告指出，2025年是“十四五”收官之年。陕西深化开展“三个年”活动，聚力打好“八场硬仗”，多措并举稳就业、稳企业、稳市场、稳预期，地区生产总值增长5.1%，城镇新增就业44.1万人，居民人均可支配收入增长5.6%，粮食产量1347万吨，单位生产总值能耗累计降幅完成“十四五”任务。
139,第139条：【算力赋能经济共创体系在沪发布】在2026“智算申城”高峰论坛上，算力赋能经济共创体系正式发布，中国信息通信研究院、中国通信服务上海公司、上海联通、上海电信、上海移动、云赛智联、上海市信息投资股份有限公司等参与发布仪式。
140,第140条：【“北斗芯片协同创新实验室”落户江苏常州】1月26日，江苏省北斗芯片与终端企业对接峰会暨常州市“百场千企”产业链融链强链对接活动在常州举行。会上，毫厘智能联合浙江大学集成电路学院、常州大学王诤微电子学院、工业和信息化部电子第五研究所华东分所三方签署了产学研合作协议，成立“北斗芯片协同创新实验室”。该实验室将围绕北斗芯片关键技术，持续推进联合研发、工程化验证、测试评价与成果转化。
141,第141条：【海螺集团董事长杨军拜会任正非】1月27日，据海螺集团消息，2026年1月26日下午，海螺集团党委书记、董事长杨军一行到华为公司调研交流，与华为公司董事、CEO任正非就建材行业AI大模型、行业未来发展及国际化等话题进行了交流。
142,第142条：【太空算力网络预计2035年前完成组网！航空航天ETF天弘标的指数午后直线拉升涨超2%，机构：商业航天政策进入实质落地阶段】盘面上，两市探底回升，午后航空航天概念直线拉升。相关ETF方面，航空航天ETF天弘（159241）标的指数盘中涨2.41%，成交额达8151.08万元。成份股中，三角防务涨超13%，航材股份，雷电微力，航天发展等多股跟涨。
143,第143条：【桥水联席CIO：AI支出狂潮可能重塑经济 同时也需警惕泡沫风险】桥水基金联席首席投资官周一（1月26日）在给客户的一份报告中写道，大型企业对人工智能的投入将继续呈指数级增长，这将重塑经济格局。这份报告指出，“简单的博弈论计算表明，这些公司无法接受落后竞争对手哪怕几个月的发展进度，因此当一家公司决定在人工智能资本支出方面更积极地投入时，就会迫使其他公司效仿。”他们提醒道，这种动态可能会加大风险，并造成类似泡沫的状况。
144,第144条：【微软发布新一代AI加速器Maia 200，科创芯片设计ETF天弘上市两日净流入额超3600万元】1月27日，三大指数涨跌不一。上证科创板芯片设计主题指数(950162.SH)上涨1.97%，该指数成分股中，东芯股份涨停，普冉股份上涨超14%，概伦电子与中微半导上涨超7%，力芯微上涨超6%。
145,第145条：港股AI应用概念股持续拉升，MINIMAX-WP涨超20%，金山云涨近10%，智谱、阿里巴巴-W跟涨。
146,第146条：【2026“苏超”冠名商为江苏银行和苏豪控股集团】财联社记者从2026江苏省城市足球联赛（“苏超”）商务合作发布会上获悉，新赛季“苏超”的冠名赞助商为江苏银行和苏豪控股集团。据了解，苏豪控股集团旗下拥有5家A股上市公司，分别为苏豪弘业、苏豪时尚、苏豪汇鸿、弘业期货和通用股份。此外，本届“苏超”赞助商还包括海澜之家、国药太极、共创草坪、龙蟠科技等。与此同时，发布会还将发布小微企业商务合作遴选方案。
147,第147条：【本周末美国联邦政府又要关门？】时隔2个多月，美国联邦政府恐再度面临“停摆”危机。当地时间1月26日，美国国会参议院多名民主党参议员表示，在明尼阿波利斯地区两度爆发联邦执法人员枪击当地居民的事件后，他们将投票反对一项包含给美国国土安全部拨款的法案，这让美国联邦政府的运作在1月底再度告急。
148,第148条：【彪马股价在TRADEGATE平台涨近20%】彪马股价在TRADEGATE平台较昨日收盘涨近20%。此前报道称安踏体育拟以15亿欧元收购彪马公司29.06%股权。
149,第149条：【又来？特朗普威胁对韩国加征关税 真实目的是？】上海市朝鲜半岛研究会副会长、上海对外经贸大学朝鲜半岛研究中心主任詹德斌告诉第一财经记者，韩美贸易协议在今年的落实情况值得观望，一方面在承诺加码投资美国市场的同时，韩国企业如何平衡国内市场，是个很棘手的挑战；另一方面特朗普是否会以其他理由对韩国再度祭出关税牌。
150,第150条：【恺英网络旗下《新射雕之华山论剑》取得游戏版号】据恺英网络消息，1月26日，国家新闻出版署官方公示了2026年1月游戏版号审批信息，共有177款国产网络游戏与5款进口网络游戏版号获批。恺英网络旗下上海恺英网络科技有限公司出版，杭州恺辰网络科技有限公司运营的《新射雕之华山论剑》顺利取得版号。
151,第151条：【内塔尼亚胡：加沙停火下一阶段重点是解除哈马斯武装】据《以色列时报》报道，随着最后一具被扣押人员遗体返回以色列，以总理内塔尼亚胡26日表示，加沙停火面临的下一个挑战将是解除巴勒斯坦伊斯兰抵抗运动(哈马斯)的武装。
152,第152条：【日韩股市集体收涨 韩国综指涨2.73%】日经225指数收涨0.85%，报53333.54点；韩国KOSPI指数收涨2.73%，报5084.85点。
153,第153条：【我国竹产业年产值超5200亿元】记者27日从国家林草局获悉，近年来我国竹产业规模持续壮大，初步形成品类齐全、业态丰富、特色明显的竹产业体系，主要竹产品实现生产效益与附加值双提升。截至目前，竹产品种类突破1.5万种，竹产业年产值超5200亿元。
154,第154条：【掉在地上的面包捡起来继续售卖？好利来致歉】好利来食品卫生安全再次受到质疑。近日，有消费者反映称，在好利来一家门店看到店员将掉在地上的面包捡起来继续售卖。此事在社交平台引发较大关注。1月27日，好利来官方小程序客服对界面新闻回复称，经过自查，本批次产品当时门店现场已全部销毁。客服表示，对于此次问题的出现，深感抱歉与自责，将加强培训，坚决杜绝此类问题再次发生。
155,第155条：【葛卫东出手！现身麦格米特定增申购名单】麦格米特近日发布的定增公告显示，不仅很多大型公募机构和外资积极参与此次定增的申购报价，葛卫东也现身申购名单，申购总金额高达24亿元。值得注意的是，公开资料显示，麦格米特为英伟达概念股，截至2025年末，葛卫东亲属葛贵莲就持有麦格米特市值超5亿元，足见其对AI领域的高度关注。多位头部私募人士表示，伴随着AI相关技术加速发展，科技仍将是2026年A股重要的投资主线之一，由AI驱动的投资主题有望延续。
156,第156条：【印度暴发尼帕病毒疫情 会波及我国吗？】“远离果蝠的生活区域，不要生食果汁。”河北邯郸市人民医院院长李侗曾提醒公众，如果去印度或其他东南亚地区旅游，要有意识地远离果蝠出现区域、养殖场、屠宰场等。吃水果一定要洗干净，喝加工果汁要加热后食用。3周内去过上述地区且出现症状要及时就医，主动报告行程。
157,第157条：【德国军工巨头要为德军打造本土版“星链”】德国最大军工企业莱茵金属公司和德国卫星制造商不来梅轨道高科技公司有意联合竞标，为德国联邦国防军提供类似美国“星链”的卫星互联网服务。三名知情人士26日向英国《金融时报》披露上述消息。据报道，这项合同的金额可能达数十亿欧元，旨在为德军在近地轨道打造安全的军用级卫星通信网络，成为德军版“星链”。
158,第158条：【中国电信联合上海交大破解KAZ抗量子算法】据人民邮电报消息，近期，中国电信PQC研究团队与上海交通大学郁昱教授团队联合攻关，成功揭示了KAZ系列算法套件在结构层面存在根本性安全缺陷，并证明其无法满足密码算法标准化的安全性要求。相关研究成果以论文形式，发布于国际密码学会预印本平台，为抗量子密码算法安全评估提供了实践参考，充分展现了团队在该领域的技术积淀与创新突破。
159,第159条：【黄河旋风涨停 热沉片将于2026年2月投入量产】1月27日，黄河旋风涨停，报7.16元/股，涨幅9.98%。据河南省科学技术厅官网1月22日消息，黄河旋风接受采访表示，公司从热沉片上切割出所需要的形状，以某种方式贴合在芯片上，做成顶级散热器，将大大促进高功率器件、5G6G通讯、AI算力性能的提升。如今，制约产业化的尺寸瓶颈已被突破，黄河旋风成功研制出国内可量产的最大8英寸热沉片。
160,第160条：沪深两市成交额突破2.5万亿元，较上日此时缩量超3300亿元。
161,第161条：【阿里平头哥筹备上市背后：加速“从内向外” 但可能没那么快】近日，有市场消息称，阿里巴巴集团正在筹划将旗下芯片设计业务单位平头哥半导体进行重组，转设为部分由员工持股的独立实体，并在此基础上考虑启动首次公开募股（IPO）。该计划尚处于初步准备阶段，具体时间表尚未确定，截至发稿，阿里方面也未对界面新闻作出官方回应。
162,第162条：【10分钟股价涨超10%！多家上市公司称已具备尼帕病毒检测能力】1月27日，博晖创新（300318.SZ）盘中突然拉升翻红，10分钟涨超10%，截至13:30，涨8.34%，报7.79元/股。消息面上，博晖创新当日发文称，公司已自主研发了尼帕病毒核酸检测试剂盒。记者以投资者身份致电博晖创新，公司接线人员表示，暂未披露过尼帕病毒核酸检测试剂盒的研发周期、产能以及订单情况。
163,第163条：【小鹏汽车顾宏地：预计今年公司将实现“非常强劲”的增长】据报道，小鹏汽车副董事长兼联席总裁顾宏地在接受媒体采访时表示，预计小鹏今年将实现“非常强劲”的增长。顾宏地称，海外市场的销售增长速度可能会超过国内。他拒绝就小鹏飞行汽车业务今年将在香港上市的传闻置评，但表示对低空经济“非常兴奋”。
164,第164条：【汇绿生态涨停 旗下公司光模块业务发展良好】1月27日，汇绿生态涨停，报28.09元/股，涨幅为9.98%。2026年1月12日，汇绿生态表示，公司旗下武汉钧恒专注于光模块行业已有10余年，拥有硅光模块通用光路技术、硅光芯片及其光引擎技术、硅光耦合自检测闭环控制方案技术、光相重合双透镜同步自动耦合技术等多种核心技术，依靠自主创新持续推动产品迭代升级。
165,第165条：【美军航母已抵中东 特朗普：打不打还没定】美国媒体26日报道，美国海军“亚伯拉罕·林肯”号航空母舰打击群已进入中东水域。美国总统特朗普当天称，伊朗局势仍“处于变化之中”，他已派遣一支比美军在委内瑞拉周边海域规模更大的舰队到中东地区，同时称伊朗确实希望达成协议。
166,第166条：【跨本体视触觉多模态数据集发布 包含超6万分钟机器人感知数据】1月26日，国家地方共建人形机器人创新中心联合相关研究团队发布“白虎-VTouch”跨本体视触觉多模态数据集。该数据集包含超过60000分钟的机器人交互数据，涵盖视觉、触觉、关节位姿等多模态信息，是目前规模最大的同类开源数据集之一。
167,第167条：【三星电子中国研究院：调研脑机海河实验室 计划投入脑机接口领域研究并进行技术储备】近日，三星电子中国研究院院长沈志春、韩国三星研究院驻在员/总监李相斌带队赴脑机交互与人机共融海河实验室开展调研。沈志春表示，三星电子中国研究院积极响应国家导向，计划投入脑机接口领域研究并进行技术储备，对脑机接口技术产业化前景抱有充分信心，他期待未来与实验室持续深化沟通协作。
168,第168条：SK海力士股价涨幅扩大至8.4%。
169,第169条：云计算概念拉升，宏景科技20cm涨停，开普云、协创数据、云赛智联、奥飞数据等跟涨。
170,第170条：【DeepSeek发布DeepSeek-OCR 2模型】DeepSeek团队发布《DeepSeek-OCR 2: Visual Causal Flow》论文，并开源DeepSeek-OCR 2模型，采用创新的DeepEncoder V2方法，让AI能够根据图像的含义动态重排图像的各个部分，更接近人类的视觉编码逻辑。
171,第171条：【安科生物：参股公司维昇药业长效生长激素维臻高在中国获批上市】据安科生物消息，1月26日，安科生物参股公司维昇药业宣布，其核心产品——进口长效生长激素维臻高（注射用隆培生长激素）正式获得中国国家药品监督管理局（NMPA）批准上市，用于治疗儿童生长激素缺乏症（PGHD）。
172,第172条：【全国9地取消固定分时电价】进入2026年，国内电力行业迎来一场意义深远的市场化变革，“取消固定分时电价”成为行业热点话题，多地密集出台政策，对直接参与电力市场交易用户的固定分时电价机制作出调整。记者梳理官方文件发现，截至目前全国已有11个省市发布相关通知，提及对入市用户不再执行政府核定的固定分时电价，其中9地已明确落地取消政策，江苏、山西两省的调整方案仍处于征求意见阶段。
173,第173条：半导体板块进一步走强，华虹公司、盛科通信-U盘中创新高，华天科技午后涨停，恒烁股份、国民技术涨幅居前。
174,第174条：【月之暗面推出Kimi K2.5模型 全面升级多模态能力】1月27日，国内人工智能初创公司月之暗面Kimi正式发布了新一代开源模型 Kimi K2.5 。据介绍，作为Kimi目前最智能的模型，K2.5 在HLE（人类最后的考试）、BrowseComp、 DeepSearchQA等多项agent评测中均取得全球开源模型的最佳成绩 。
175,第175条：【“如果生成内容有误，我将赔偿您10万元” 全国首例因“AI幻觉”引发的侵权案宣判】当你遇到问题向AI求助时，是否有过这样的经历：它迅速给出看似专业而合理的解答，可其中的事实、数据、结论却可能经不起推敲，要么信息错位，要么无中生有。当AI一本正经地“胡说八道”，这是“AI幻觉”的典型表现。一位高考生的哥哥梁某在查询高校信息时，就遭遇了这种“AI幻觉”，AI平台在生成错误信息后，还底气十足地表示内容有误将赔偿10万元。
176,第176条：【海南：2026年地区生产总值预期增长6%左右】海南省第七届人民代表大会第五次会议正式召开。海南省省长刘小明在作政府工作报告时表示，海南今年经济社会发展的主要预期目标是地区生产总值增长6%左右，固定资产投资增长7%左右，社会消费品零售总额增长6%左右，城镇调查失业率控制在5.5%左右，居民消费价格增长2%左右，居民收入增长和经济增长同步，生态环境质量保持优良，碳排放双控完成国家下达的目标任务。
177,第177条：【奥比中光：与蚂蚁集团旗下蚂蚁灵波达成战略合作意向】1月27日，蚂蚁集团旗下蚂蚁灵波科技发布其首个开源的空间感知模型LingBot-Depth，并宣布与奥比中光达成战略合作意向。作为机器人及AI视觉科技公司，奥比中光在LingBot-Depth模型的研发与测试阶段提供了关键硬件支持，LingBot-Depth模型已通过奥比中光深度视觉实验室认证。未来，双方将持续展开技术协同，共同推动空间智能从算法创新走向真实场景落地。
178,第178条：创业板指涨幅扩大至1%，早盘一度跌超1%，上证指数涨0.29%，深证成指涨0.1%。
179,第179条：【落袋为安？超1000亿“跑了”】1月26日，沪指全天横盘震荡，贵金属板块逆市大涨，医药股集体走强，商业航天概念股调整。在市场“降温”背景下，昨日股票ETF市场延续净流出态势，沪深300ETF净流出近700亿元，上证50ETF、中证500ETF、中证1000ETF等龙头产品也有百亿元体量资金净流出。
180,第180条：【PIMCO：全球债券收益未来5~10年有望超过股票 日本国债变得“更有趣”】近日，品浩（PIMCO）集团投资总监兼董事总经理艾达信（Daniel Ivascyn）在2026年市场展望媒体见面会上表示，目前债券的定价和股票相比，已具有绝对吸引力。同时，债券投资者不应仅投资美国或本土债市，而需要进行全球投资的多元分散，才能实现回报的最大化，并减缓风险。他告诉第一财经记者，日本国债市场正变得越来越“有趣”。
181,第181条：【Kimi智能助手上线K2.5版本】Kimi智能助手K2.5版本正式上线。此次更新采用静默推送方式，用户在官网聊天界面中原本的K2模型已自动切换为K2.5版本，无需手动操作。
182,第182条：科创50指数涨幅扩大至1%，盛科通信、君实生物、芯联集成领涨成分股。
183,第183条：【久之洋：子公司项目入选国家级应急装备孵化名录】据久之洋消息，2025年12月31日，应急管理部、工业和信息化部、国务院国资委联合发布《关于公布2025年度应急管理装备孵化入选项目的通知》，久之洋公司子公司——中船泓洋科技（武汉）有限责任公司申报的“气体泄露扩散实时定量监测红外光谱仪方案”成功入选。
184,第184条：印度总理莫迪表示，昨天欧盟与印度签署了一项重大协议。
185,第185条：国债期货走弱，30年期主力合约盘中跌0.20%，现报112.230元。10年期跌0.03%，现报108.145元。5年期跌0.02%，现报105.815元。2年期跌0.01%，现报102.382元。
186,第186条：【八部门：到2030年力争打造100家左右综合物流集成商】国家金融监督管理总局等八部门联合印发《加快培育交通物流领军企业提升产业链供应链服务保障能力行动方案》。其中提到，到2030年，力争打造100家左右综合物流集成商，其中具有全球辐射力和国际竞争力的交通物流领军企业10家以上，带动交通物流运行质效和安全韧性水平明显提升。
187,第187条：【文心APP进一步扩大群聊功能内测 行业首次支持“多人、多Agent”互动】百度旗下文心APP推出的行业首个“多人、多Agent”群聊功能开启新一轮内测。据悉，该功能支持在同一群聊中调动多个AI角色，包括“群聊助手”“私人助手”“健康管家”等垂类智能体。同时，群聊中的AI助手能理解上下文并根据讨论氛围判断时机，无需用户提及即可主动介入对话。
188,第188条：【频频“出手”一级市场 中国人寿超百亿投资养老与科创】近日，中国人寿保险股份有限公司（601628.SH）公告显示，拟投资设立一只养老产业基金、一只科创基金，认缴出资额合计约125亿元。对于此次大手笔布局，中国人寿相关负责人对记者表示，一切以公司公告为准。
189,第189条：大飞机板块持续拉升，航发科技涨停，图南股份涨超10%，航发控制、航亚科技、航发动力、国机精工、飞沃科技跟涨。
190,第190条：【伊朗：与美国以“非正式”方式互通消息】据彭博新闻社1月26日报道，半官方的伊朗学生通讯社报道称，伊朗外长阿巴斯·阿拉格齐与美国特使史蒂文·威特科夫正以“非正式”方式互通消息。据报道，伊朗常驻联合国日内瓦办事处代表阿里·巴赫雷尼表示，双方确有接触，但“目前尚无固定的沟通渠道”，并补充称“这几乎算不上是谈判”。
191,第191条：【首个星际航行学院成立：面向海外引才，单项科研经费最高1亿元】1月27日，中国科学院大学星际航行学院揭牌仪式在中国科学院与“两弹一星”纪念馆举行，标志该学院正式成立。学院以航空宇航科学与技术为核心学科，重点发展飞行器设计、推进与动力、飞行器智能控制等关键方向，下设4个系，研究领域包括空间科学，空气动力学与推进，结构与材料力学，自主系统与控制等。
192,第192条：沪深两市成交额连续第21个交易日突破2万亿，较上一日此时缩量超3600亿。
193,第193条：【荷兰发现奶牛感染禽流感 或为美国以外首例】荷兰农业部门在日前致该国议会的一封信中说，检测到一头奶牛产的奶中含有H5N1型禽流感病毒的抗体，显示该奶牛感染过禽流感。德国动物卫生研究机构弗里德里希·洛夫勒研究所26日说，依据其掌握的信息，这是首次在美国以外地区发现奶牛感染禽流感。
194,第194条：【国家邮政局：要保障快递员春运期间休息休假等合法权利】近日，国家邮政局印发《2026年春运期间寄递服务保障工作方案》，《工作方案》明确，要保障快递员春运期间休息休假等合法权利，按时支付从业人员工资，健全快递员诉求反映机制，切实保障快递员合法权益。邮政企业、快递企业要根据业务量变化和快递员个人意愿，实行错峰放假和调休。
195,第195条：【半导体板块反转拉升，半导体设备ETF万家盘中涨超2%，连续15天净流入】2026年1月27日早盘，半导体板块反转拉升，截至11:08，中证半导体材料设备主题指数(931743)强势上涨2.39%，成分股芯源微上涨14.04%，金海通、康强电子10cm涨停，立昂微，富创精密等个股跟涨。半导体设备ETF万家(159327)上涨2.03%。
196,第196条：【“天量”存款到期 保险机构接“泼天富贵”：销售“出乎意料好” 八成新单指向分红险】2026年保险业开门红正在冲刺，据财联社记者了解，分红险占据今年各家保险机构销售的C位。“今年新开保单的八成是分红险。”多位保险代理人对财联社记者表示，今年开门红业绩出乎意料地好，侧面反映出客户对分红险及长期稳定收益率财富管理产品的巨大需求。
197,第197条：太空光伏概念持续回升，拉普拉斯、中来股份涨超10%，宇晶股份、赛伍技术触及涨停，此前拓日新能3连板，连城数控、帝科股份、迈为股份、金辰股份跟涨。
198,第198条：【TikTok美国数据安全合资公司通报系统故障：数据中心断电导致 正努力修复】当地时间1月26日，TikTok美国数据安全合资有限责任公司（简称TikTok USDS合资公司）在社交媒体平台X发布声明称，正努力解决由美国数据中心合作伙伴站点断电引发的重大基础设施问题，“虽然网络已恢复，但断电导致一系列系统故障，我们正与数据中心合作伙伴共同努力解决这些问题”。
199,第199条：【多重因素叠加共振 棉花价格大涨】最近，国内棉花期货价格明显走高。从去年11月初到现在，郑棉主力合约每吨涨了接近1100元，涨幅超过7%。今年1月初，价格一度冲到每吨15000元，创下近一年半来的新高。期货涨，现货也跟着涨，全国棉花平均现货价每吨涨了1000元左右，涨幅接近7%。业内人士认为，本轮棉花期货上涨，是供需、成本和市场预期等多重因素叠加共振的结果。
